family,level,model,roc_auc_mean,roc_auc_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,real_fpr_mean,real_fpr_std
blur_sigma,0.5,Robust,0.9646980666042074,0.0025234980709837773,0.8974374463725495,0.004492747364002976,0.901660846605911,0.0029988888179569785,0.10854271356783918,0.0036236696235819013
blur_sigma,0.5,Standard,0.9729633099584553,0.0010288327681027421,0.913186507166816,0.0014523617912468542,0.918041715167173,0.0018228414583773339,0.08576214405360129,0.011429629553924231
blur_sigma,1.0,Robust,0.9625030993006464,0.002751440825386993,0.8927784242431546,0.0037627330573820356,0.8964582801010703,0.0022431720523261385,0.11725293132328303,0.004184253265258563
blur_sigma,1.0,Standard,0.9686618592018473,0.0022075067524717764,0.9038911768764679,0.00421463852621614,0.9009189071534697,0.004539305885259638,0.13902847571189278,0.011905765925572472
blur_sigma,1.5,Robust,0.9585180137978027,0.0030075956309828828,0.8852948350489634,0.004391893193419331,0.8900017980675505,0.003418737513987103,0.1209380234505862,0.004531909299319458
blur_sigma,1.5,Standard,0.95955426851773,0.0036917575262966308,0.8756925798498595,0.007734928706609878,0.8634556965619055,0.007295724925136478,0.2301507537688442,0.008761605916664647
blur_sigma,2.0,Robust,0.9559087338765391,0.0028497519582553863,0.8797411019333907,0.004385451556400255,0.8853244565577416,0.003280144024858694,0.1229480737018425,0.00323070377252696
blur_sigma,2.0,Standard,0.9504717561441862,0.0049991553141748015,0.8477653814040105,0.006841675689780959,0.8293851555328432,0.006784366520908048,0.31222780569514236,0.012074252121232884
blur_sigma,3.0,Robust,0.9503169330645697,0.003059665402556522,0.8693162290661195,0.0073891928533980356,0.8765139255600034,0.005685652796309518,0.12663316582914572,0.008226485197861792
blur_sigma,3.0,Standard,0.9373294911468832,0.005197477983396975,0.8065395599381238,0.014003520079436364,0.7861364260095204,0.014500201443456415,0.402680067001675,0.03345893526874065
crop_fraction,0.6,Robust,0.9370934711220889,0.0023398971129299025,0.8480544857446914,0.007137923832235672,0.8584220537716832,0.006313945574110668,0.13400335008375205,0.006058003792303235
crop_fraction,0.6,Standard,0.9414128079190679,0.0039648089980149305,0.862201671788891,0.0035952623161589494,0.8639255600034068,0.00400074770122566,0.16649916247906194,0.018043863329306808
crop_fraction,0.7,Robust,0.9473328033765817,0.0019336575500362237,0.8678708594180211,0.004246954990196523,0.8749647484124955,0.0029219115694829718,0.12897822445561133,0.0023210061072950054
crop_fraction,0.7,Standard,0.9559830224569175,0.002039928478407943,0.885497496878599,0.0032695170504977032,0.8900434375266162,0.003128745417589173,0.121608040201005,0.014070351758794005
crop_fraction,0.8,Robust,0.9554330030567147,0.00248284149336744,0.8799624858812738,0.0028304793767314515,0.8845276287274414,0.0006155910007965318,0.12830820770519255,0.013269884301734225
crop_fraction,0.8,Standard,0.965925673565568,0.00012802811640223578,0.9000930498747427,0.005636089166563884,0.9063419735210894,0.0034224800223013503,0.09447236180904517,0.006590390476685408
crop_fraction,0.9,Robust,0.9600262139321846,0.0025211951555626174,0.8892978814310347,0.0035365281598778667,0.8935283763450018,0.0018510648586239238,0.11859296482412052,0.008226485197861722
crop_fraction,0.9,Standard,0.9701528357417976,0.0011750693827870618,0.9059969455679607,0.005017694265177068,0.9122869526540424,0.005045823401648677,0.08710217755443879,0.013865462034556058
crop_fraction,0.95,Robust,0.9630535918765201,0.002155018876066453,0.895102732993004,0.005628999451244063,0.899798427164069,0.0033682202435755064,0.10887772194304852,0.007270530792030415
crop_fraction,0.95,Standard,0.9715634670527781,0.0008393728409848486,0.9083613288859803,0.0013171258418774512,0.9149353168857469,0.0026179843506896295,0.08274706867671687,0.015709714020359623
jpeg_quality,20.0,Robust,0.9545948196727516,0.0024243493633371365,0.8553493831516227,0.005514649435575894,0.8758202500260247,0.003947119960306246,0.07001675041876043,0.002529257767259883
jpeg_quality,20.0,Standard,0.9595306097341698,0.0025734646585720534,0.8481762920108866,0.017332031424402376,0.8733251947117887,0.01278772496249768,0.05259631490787267,0.005888909826213407
jpeg_quality,35.0,Robust,0.9609441747343119,0.0024881237278703075,0.884037707667846,0.003633256244537391,0.8949710889664897,0.0022612162324271703,0.08877721943048571,0.0035295322455118163
jpeg_quality,35.0,Standard,0.9674328327134732,0.0016518509630519197,0.8846932595430235,0.010095212286995415,0.9001892702684798,0.0067477709449847946,0.0636515912897822,0.006140804951364619
jpeg_quality,55.0,Robust,0.9623255637888121,0.0025780686046603662,0.8888903471029401,0.005319285015056302,0.8966205793562918,0.0034745922321537176,0.10016750418760467,0.003529532245511801
jpeg_quality,55.0,Standard,0.9682518998003199,0.0008718997155520674,0.8951240115499085,0.006234482500223917,0.9062435529814797,0.0043543762266438375,0.07470686767169173,0.008547638741824536
jpeg_quality,75.0,Robust,0.9639899118946899,0.0026003912427405513,0.896504467084104,0.005032507820080027,0.9016934957272237,0.003410063477273794,0.1045226130653266,0.002659046543783494
jpeg_quality,75.0,Standard,0.9700511976076239,0.0010657305631667907,0.9028683751930418,0.000671241944546012,0.9114839735400165,0.0031009628532432617,0.0787269681742043,0.014541061584060759
jpeg_quality,95.0,Robust,0.9653322166387494,0.0025050813116360175,0.9001784564720162,0.004676949916036295,0.9039524363815309,0.003037927215838224,0.10753768844221101,0.004380802958332332
jpeg_quality,95.0,Standard,0.9732001816994577,0.0009764839965932791,0.9118838375395087,0.002175233752198427,0.9180119050998874,0.00125505322324163,0.0807370184254606,0.013116765125930891
noise_std,0.01,Robust,0.9644839072954227,0.0025023580242555547,0.8965278394838911,0.004327395990066202,0.9012742620825408,0.002641043011244863,0.10686767169179223,0.0038049637157790738
noise_std,0.01,Standard,0.9714524600403146,0.0011609308498738554,0.9038257323045915,0.0022060427383349566,0.9140083657458669,0.0008748990010450316,0.06934673366834167,0.007587773301779644
noise_std,0.02,Robust,0.9632263956316423,0.002625214084459678,0.8943315489115261,0.004594677138051636,0.9001452649310583,0.0029303856036852457,0.1038525963149078,0.005714814776962116
noise_std,0.02,Standard,0.966671966234184,0.0015228927239539752,0.8836936976248282,0.007614370815922028,0.9011337289081944,0.005383027679262733,0.05460636515912893,0.00605800379230323
noise_std,0.04,Robust,0.9603305605239001,0.00282144146977566,0.8842337288733088,0.0042193477131806136,0.8933149741172907,0.0025949040522805387,0.09849246231155773,0.004020100502512548
noise_std,0.04,Standard,0.9490008422526949,0.0027312254905836344,0.8019763162057044,0.020527790212292223,0.8396942338812708,0.016119559181929543,0.034170854271356736,0.007849497161715199
noise_std,0.06,Robust,0.9556327778250955,0.00258200876293481,0.8722130541903826,0.005935588868310657,0.8854498481106096,0.0038023453342009837,0.09011725293132322,0.00553524678119203
noise_std,0.06,Standard,0.9252914288958918,0.002893848856188826,0.7118314936628839,0.02499138059722259,0.7696930982596598,0.018891944254212964,0.0244556113902847,0.0047495634434699735
noise_std,0.08,Robust,0.9508060074383216,0.001845155511279385,0.8595549746539057,0.0035149130946395533,0.8768730658944439,0.0016489332351912237,0.08241206030150751,0.008932858710869938
noise_std,0.08,Standard,0.9039724043948557,0.0029335765572046047,0.6449402617433001,0.028643824263932777,0.7203967104827339,0.021247206273347044,0.0160804020100502,0.0020100502512563003
resize_scale,0.25,Robust,0.9548490096433202,0.002339597956645327,0.8780515241017649,0.00358832646174211,0.8835869554930964,0.0032315576373343024,0.12529313232830816,0.004642012214590003
resize_scale,0.25,Standard,0.9481160983826854,0.005496248342722014,0.8301263512614409,0.010043901767382984,0.8101420473364942,0.010239112834078341,0.3541038525963149,0.020506781832901673
resize_scale,0.35,Robust,0.9582459377868626,0.0026864467136001086,0.8852633367651709,0.0060530241075478445,0.8893625377357598,0.005188351686233751,0.12428810720268,0.004749563443469977
resize_scale,0.35,Standard,0.95740709195696,0.004266949428565209,0.8666603050723447,0.007541976366853709,0.8514034390407783,0.007116391384604934,0.2619765494137353,0.009119368568721085
resize_scale,0.5,Robust,0.9610359708145246,0.0028729501388985207,0.8907586067189593,0.005870156141044752,0.8940924017450719,0.003781789497281444,0.12160804020100496,0.004020100502512544
resize_scale,0.5,Standard,0.9643860545666184,0.002930739300927499,0.8909929637799668,0.007007118036754545,0.8826472286100938,0.006200228532533464,0.18592964824120597,0.0061133291761791145
resize_scale,0.75,Robust,0.9640018359216042,0.0025928086965238636,0.8961247314148678,0.005054973484353163,0.899713255543253,0.0033567744114091354,0.11356783919597983,0.004380802958332364
resize_scale,0.75,Standard,0.9708900434375266,0.0017836895976474042,0.9093330436433008,0.003422059205002694,0.9093693514654251,0.004154365876032164,0.11591289782244552,0.013865462034556061
resize_scale,0.9,Robust,0.9643940985530287,0.002551584724507586,0.8973785216331024,0.0047250136512442835,0.9008015595870122,0.0030577034740550345,0.11289782244556111,0.003070402475682283
resize_scale,0.9,Standard,0.9722156923979596,0.0013391283168176472,0.9112911629052665,0.001242955590381813,0.9131396152135441,0.0018702462791264716,0.10385259631490784,0.012725909489596359
