seed,transformation,auc_effect,macro_f1_effect,fpr_reduction
42,blur_1p5,0.19776850353462327,1.6042551363017132,12.562814070351758
42,center_crop_80pct,-1.1464100161826196,-1.828161847823273,-2.7135678391959797
42,jpeg_q35,-0.8667064134230684,-0.16320780254429623,-2.311557788944723
42,noise_0p04,0.1886267495670335,7.126057615655279,-6.934673366834171
42,resize_50pct,-0.19955710757175726,0.1479207377773628,7.537688442211056
43,blur_1p5,0.04886011980808069,1.7190024379432844,11.356783919597989
43,center_crop_80pct,-0.6919910285892894,-2.052057898273252,-3.0150753768844214
43,jpeg_q35,-0.6064219402095117,-0.7043513824027903,-2.21105527638191
43,noise_0p04,0.908071430599322,5.350361517323932,-6.130653266331659
43,resize_50pct,-0.17812224966641255,0.67981078128031,6.834170854271357
44,blur_1p5,-0.13533770547652368,0.74350406999657,11.055276381909549
44,center_crop_80pct,-1.0771370979189676,-1.508875223819095,-1.9095477386934678
44,jpeg_q35,-0.47344064957556276,0.6708936223938644,-3.0150753768844227
44,noise_0p04,1.1550691309655803,8.890112134580297,-6.030150753768844
44,resize_50pct,-0.31584476052579635,-0.49066699125941415,6.532663316582914
