model,clean_auc_mean,clean_auc_std,transformed_auc_mean,transformed_auc_std,auc_drop_mean,auc_drop_std,clean_macro_f1_mean,clean_macro_f1_std,transformed_macro_f1_mean,transformed_macro_f1_std,clean_real_fpr_mean,clean_real_fpr_std,transformed_real_fpr_mean,transformed_real_fpr_std
Robust,0.9650929790193907,0.002555379019097899,0.9590352553729099,0.0026087736413141155,0.0060577236464809,0.0002721033981213329,0.8986409124323341,0.005437345823965064,0.8853511149197372,0.004615228205093185,0.10619765494137345,0.0032307037725269327,0.1128308207705192,0.004585088672944861
Standard,0.9729844135933906,0.001119439110927786,0.949506110590618,0.0025606125180755858,0.0234783030027727,0.001961179075914407,0.9096733209948931,0.002690034409822591,0.872009629878757,0.007188675885295934,0.07705192629815744,0.012485524391011225,0.1272361809045226,0.0036569659092784575
